"","Intervalo","Tipo de etapa","Volta","Tempo","Tempo acumulado","Distância","Ritmo médio","FC Média","FC máxima","Subida total","Descida total","Cadência de corrida média","Comprimento médio da passada","Calorias","Melhor ritmo","Cadência de corrida máxima","Tempo em movimento","Ritmo movimentação médio"
"","","Aquecimento","1","5:00","5:00","0.71","7:02","134","147","47","0","161","0.88","53","5:06","172","4:36","6:28"
"","1","Corrida","2 - 7","30:00","35:00","5.35","5:36","197","208","61","57","165","1.08","383","4:45","178","29:47","5:34"
"","2","Corrida","8 - 9","5:42.6","40:43","1.02","5:37","193","208","7","15","164","1.09","69","4:41","178","5:25","5:20"
"","","Desaquecimento","10 - 11","8:16.5","48:59","1.06","7:50","173","203","16","16","116","1.10","67","3:23","194","8:16.5","7:50"
"","Resumo","--","--","48:59","48:59","8.13","6:01","186","208","44","42","156","1.05","567","3:23","194","48:20","5:57"
