"","Intervalo","Tipo de etapa","Volta","Tempo","Tempo acumulado","Distância","Ritmo médio","FC Média","FC máxima","Subida total","Descida total","Cadência de corrida média","Comprimento médio da passada","Calorias","Melhor ritmo","Cadência de corrida máxima","Tempo em movimento","Ritmo movimentação médio"
"","","Aquecimento","1 - 2","15:00","15:00","1.73","8:39","144","172","40","43","152","0.76","114","6:41","173","14:04","8:07"
"","1","Corrida","3","1:00","16:00","0.25","4:03","153","166","4","5","185","1.34","10","3:46","202","0:51","3:27"
"","2","Corrida","4","1:00","17:00","0.12","8:29","163","178","3","9","167","0.71","9","4:24","181","1:00","8:29"
"","3","Corrida","5","1:00","18:00","0.25","3:56","183","194","8","0","182","1.40","12","3:47","188","0:59","3:52"
"","4","Corrida","6","1:00","19:00","0.14","7:11","191","195","1","1","166","0.84","12","3:53","179","0:58","6:57"
"","5","Corrida","7","1:00","20:00","0.25","4:01","188","197","1","7","180","1.38","12","3:23","195","0:53","3:33"
"","6","Corrida","8","1:00","21:00","0.13","7:48","194","198","5","0","165","0.78","11","4:43","180","0:54","7:01"
"","7","Corrida","9","1:00","22:00","0.26","3:49","196","201","3","5","182","1.43","13","3:30","188","0:51","3:15"
"","8","Corrida","10","1:00","23:00","0.11","8:58","196","200","2","4","158","0.71","11","4:34","169","0:50","7:28"
"","9","Corrida","11","1:00","24:00","0.25","4:00","195","199","0","3","179","1.40","13","3:38","188","1:00","4:00"
"","10","Corrida","12","1:00","25:00","0.12","8:42","195","200","10","0","163","0.71","13","4:03","182","0:43","6:14"
"","11","Corrida","13","1:00","26:00","0.27","3:44","197","205","5","5","185","1.45","13","3:22","196","1:00","3:44"
"","12","Corrida","14","1:00","27:00","0.09","11:45","193","204","3","3","90","0.94","13","4:39","166","0:31","6:04"
"","13","Corrida","15","1:00","28:00","0.28","3:33","195","205","5","4","159","1.77","13","2:51","194","1:00","3:33"
"","14","Corrida","16","1:00","29:00","0.06","15:42","196","206","2","4","49","1.29","13","3:56","180","0:31","8:07"
"","15","Corrida","17","1:00","30:00","0.28","3:36","197","208","4","4","183","1.51","13","3:22","200","0:59","3:33"
"","16","Corrida","18","1:00","31:00","0.08","12:38","197","207","6","1","85","0.93","13","4:19","176","0:50","10:31"
"","17","Corrida","19","1:00","32:00","0.28","3:32","200","206","0","3","181","1.56","13","3:18","192","1:00","3:32"
"","18","Corrida","20","1:00","33:00","0.05","18:12","193","205","1","0","61","0.90","13","3:57","173","0:24","7:17"
"","","Desaquecimento","21 - 22","15:01","48:01","1.50","10:00","157","179","41","43","138","0.72","111","5:24","232","14:58","9:58"
"","Resumo","--","--","48:00","48:00","6.50","7:23","165","208","45","43","147","0.90","439","2:51","232","45:51","7:03"
