"","Intervalo","Tipo de etapa","Volta","Tempo","Tempo acumulado","Distância","Ritmo médio","FC Média","FC máxima","Subida total","Descida total","Cadência de corrida média","Comprimento médio da passada","Calorias","Melhor ritmo","Cadência de corrida máxima","Tempo em movimento","Ritmo movimentação médio"
"","","Aquecimento","1","5:00","5:00","0.43","11:38","125","147","19","26","110","0.78","29","6:24","172","4:41","10:54"
"","1","Corrida","2 - 5","20:00","25:00","3.56","5:37","186","196","61","69","172","1.03","236","4:52","186","20:00","5:37"
"","2","Corrida","6","3:52.3","28:52","0.69","5:38","194","198","17","16","174","1.02","47","5:03","178","3:50","5:34"
"","","Desaquecimento","7","5:00.0","33:52","0.48","10:28","168","196","11","9","124","0.77","43","5:28","176","4:54","10:16"
"","Resumo","--","--","33:52","33:52","5.15","6:35","175","198","5","5","156","0.96","352","4:52","186","33:43","6:33"
